Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,138.360001,139.729996,129.639999,134.820007,134.820007,30703500
2022-03-22,133.660004,146.789993,133.565002,141.789993,141.789993,27938500
2022-03-23,138.830002,142.889999,134.350006,135.399994,135.399994,18069900
2022-03-24,136.429993,137.729996,129.809998,135.059998,135.059998,16790100
2022-03-25,135.509995,136.199997,127.230003,130.330002,130.330002,13467000
2022-03-28,132.000000,138.880005,131.738007,138.119995,138.119995,19074000
2022-03-29,141.000000,149.000000,137.910004,146.839996,146.839996,21939500
2022-03-30,147.009995,147.619995,137.679993,140.100006,140.100006,20231800
2022-03-31,139.520004,140.500000,135.479996,135.600006,135.600006,13569600
2022-04-01,136.500000,138.410004,131.729996,133.619995,133.619995,15216100
2022-04-04,136.850006,145.580002,135.750000,145.190002,145.190002,15632200
2022-04-05,145.000000,145.000000,134.699997,135.919998,135.919998,15798800
2022-04-06,133.729996,133.949997,124.599998,128.770004,128.770004,21077200
2022-04-07,128.000000,132.800003,120.110001,125.930000,125.930000,19030600
2022-04-08,124.529999,127.500000,122.120003,123.220001,123.220001,13654100
2022-04-11,120.279999,125.730003,118.919998,123.080002,123.080002,12965000
2022-04-12,126.019997,130.889999,121.500000,122.889999,122.889999,15351400
2022-04-13,121.400002,126.660004,120.500000,126.050003,126.050003,10789100
2022-04-14,126.029999,126.459999,121.129997,121.309998,121.309998,9447500
2022-04-18,120.790001,121.269997,115.849998,119.389999,119.389999,10365000
2022-04-19,119.000000,127.150002,118.690002,125.620003,125.620003,10900400
2022-04-20,125.209999,125.209999,114.500000,114.519997,114.519997,13309000
2022-04-21,117.099998,119.480003,106.445000,107.709999,107.709999,14430400
2022-04-22,108.110001,109.949997,102.019997,102.669998,102.669998,12495300
2022-04-25,101.870003,108.300003,101.870003,107.379997,107.379997,14059500
2022-04-26,105.642998,105.642998,99.824997,100.470001,100.470001,12854500
2022-04-27,98.680000,103.968002,98.070000,99.930000,99.930000,14308600
2022-04-28,101.540001,106.000000,97.389999,104.639999,104.639999,16650900
2022-04-29,103.639999,110.440002,99.320000,99.540001,99.540001,13448800
2022-05-02,98.300003,105.970001,97.269997,105.860001,105.860001,14661700
2022-05-03,104.160004,108.000000,100.480003,102.330002,102.330002,14675900
2022-05-04,102.250000,107.209999,93.650002,106.790001,106.790001,25333900
2022-05-05,103.510002,104.139999,93.120003,95.550003,95.550003,22914500
2022-05-06,98.669998,98.680000,88.556999,96.190002,96.190002,36801900
2022-05-09,93.059998,93.969002,80.820000,83.860001,83.860001,31319600
2022-05-10,87.290001,91.464996,80.389999,84.389999,84.389999,25789600
2022-05-11,82.970001,85.150002,70.330002,71.220001,71.220001,39549300
2022-05-12,68.790001,78.139999,65.099998,75.760002,75.760002,35208100
2022-05-13,80.370003,85.230003,80.129997,84.150002,84.150002,28356500
2022-05-16,82.269997,84.690002,79.309998,79.699997,79.699997,18879600
2022-05-17,82.500000,85.559998,78.879997,84.790001,84.790001,21675600
2022-05-18,82.730003,89.096001,81.480003,82.059998,82.059998,24811400
2022-05-19,82.900002,89.918999,82.084999,87.139999,87.139999,24086900
2022-05-20,88.010002,90.250000,78.891998,83.440002,83.440002,22714300
2022-05-23,83.820000,84.150002,79.050003,83.400002,83.400002,19684100
2022-05-24,81.400002,81.620003,74.160004,75.879997,75.879997,20583900
2022-05-25,75.800003,78.949997,74.309998,77.949997,77.949997,17738200
2022-05-26,75.570000,83.860001,74.760002,83.410004,83.410004,16587500
2022-05-27,84.290001,90.989998,83.500000,90.519997,90.519997,19837500
2022-05-31,90.000000,90.599998,85.800003,87.510002,87.510002,19307200
2022-06-01,87.349998,89.210999,81.352997,81.910004,81.910004,20519200
2022-06-02,81.519997,88.848999,81.400002,87.440002,87.440002,19120000
2022-06-03,85.360001,86.669998,82.660004,83.099998,83.099998,13965900
2022-06-06,84.860001,87.089996,81.949997,83.379997,83.379997,13972700
2022-06-07,81.879997,85.199997,80.250000,84.599998,84.599998,14313300
2022-06-08,84.599998,87.550003,83.870003,84.750000,84.750000,12757300
2022-06-09,84.629997,84.959999,76.489998,76.580002,76.580002,19594300
2022-06-10,75.860001,76.239998,70.230003,71.870003,71.870003,21288000
2022-06-13,66.160004,68.779999,62.500000,62.759998,62.759998,26455800
2022-06-14,63.520000,63.689999,59.450001,60.299999,60.299999,23258500
2022-06-15,61.169998,64.427002,60.470001,62.910000,62.910000,24356700
2022-06-16,60.419998,61.139999,56.723000,57.509998,57.509998,22705200
2022-06-17,56.209999,59.450001,56.009998,58.509998,58.509998,21814800
2022-06-21,59.720001,62.613998,59.450001,60.520000,60.520000,17100100
2022-06-22,59.430000,62.880001,59.240002,60.650002,60.650002,15082400
2022-06-23,61.410000,67.629997,60.799999,67.269997,67.269997,23240200
2022-06-24,68.220001,71.010002,66.830002,71.000000,71.000000,23357200
2022-06-27,70.790001,71.750000,66.949997,69.430000,69.430000,14687400
2022-06-28,69.099998,70.199997,64.809998,65.599998,65.599998,14795000
2022-06-29,64.769997,65.722000,62.410000,63.840000,63.840000,13450900
2022-06-30,62.750000,63.000000,59.080002,61.459999,61.459999,16793100
2022-07-01,61.950001,65.139999,61.860001,63.900002,63.900002,15218100
2022-07-05,61.840000,66.910004,60.349998,66.730003,66.730003,14496500
2022-07-06,66.599998,68.470001,64.279999,64.970001,64.970001,11788100
2022-07-07,65.129997,69.580002,64.510002,68.629997,68.629997,13885200
2022-07-08,66.800003,68.970001,64.750000,67.019997,67.019997,16403200
2022-07-11,66.150002,66.879997,63.049999,63.230000,63.230000,11140700
2022-07-12,63.959999,66.536003,63.130001,65.029999,65.029999,14386700
2022-07-13,62.200001,65.610001,60.820000,64.150002,64.150002,13548800
2022-07-14,63.270000,63.750000,61.040001,62.419998,62.419998,11377100
2022-07-15,64.190002,66.040001,62.700001,65.980003,65.980003,12267200
2022-07-18,67.879997,69.589996,65.830002,66.269997,66.269997,14204900
2022-07-19,66.940002,69.307999,64.264999,69.250000,69.250000,16120400
2022-07-20,70.000000,75.239998,69.220001,74.779999,74.779999,18594300
2022-07-21,73.309998,75.169998,72.169998,74.760002,74.760002,14683000
2022-07-22,74.660004,76.440002,70.959999,71.800003,71.800003,12130100
2022-07-25,72.040001,72.470001,69.599998,71.430000,71.430000,9267700
2022-07-26,69.089996,69.230003,65.900002,66.389999,66.389999,10924100
2022-07-27,68.459999,72.940002,67.599998,72.760002,72.760002,13865400
2022-07-28,73.040001,75.160004,70.510002,74.680000,74.680000,11281600
2022-07-29,73.230003,76.089996,72.724998,76.059998,76.059998,10554300
2022-08-01,75.480003,79.050003,74.449997,77.809998,77.809998,11563100
2022-08-02,76.620003,80.769997,76.360001,79.089996,79.089996,12648900
2022-08-03,81.029999,88.830002,80.699997,88.070000,88.070000,26179500
2022-08-04,88.150002,90.669998,86.830002,89.699997,89.699997,22719400
2022-08-05,83.650002,93.190002,82.877998,87.730003,87.730003,31022600
2022-08-08,88.050003,91.800003,84.870003,85.500000,85.500000,19001500
2022-08-09,84.180000,84.870003,79.949997,81.129997,81.129997,13287000
2022-08-10,86.760002,89.029999,84.419998,88.839996,88.839996,16527800
2022-08-11,90.870003,92.099998,85.360001,85.989998,85.989998,15075900
2022-08-12,88.010002,88.629997,85.010002,87.949997,87.949997,10433200
